"platName","compname","avg_revenue","投资期限","注册资金","自动投标","债权转让","资金托管","投标保障","保障模式","担保机构","业务类型","xingzhi","考察报告","risk_capital","user_capital","if_tuoguan","platId","allPlatPin","problem_time","online_tine","re_capital","origin","待收金额","涉及人数","event"
"1119贷","yyyjd","18%",NA,"1319万元",NA,NA,"无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,791,"yiyiyijiudai",NA,NA,NA,NA,NA,NA,"1"
"15贷","swd",NA,NA,"600万元","不支持","不可转让","无托管","VIP本息保障，非VIP垫付本金的80%","平台垫付",NA,"(100%)","民营系",NA,NA,NA,0,112,"shiwudai","2015.12","2012年","600.00万元","浙江","NA","NA","提现困难"
"1688易贷","ylbbyd","18%",NA,"1000万元",NA,NA,"无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,745,"yiliubabayidai",NA,NA,NA,NA,NA,NA,"1"
"168理财网","ylblcw","11.39%","6月标(59.3%)、4-6月标(19.3%)等","1000万元","支持","3个月","用户资金托管托管机构为汇付天下","专业担保机构担保","风险准备金、新三板股权质押",NA,"消费金融(20%)、车贷(50%)、供应链(30%)","民营系",NA,NA,"汇付天下",1,850,"yiliubalicaiwang",NA,NA,NA,NA,NA,NA,"1"
"178网贷","wd","14.73%","3月标(60.2%)、1月标(36.1%)等","10000万元","支持","随时","无托管","融资性担保公司进行担保","融资性担保公司","武汉市东西湖区中小企业担保有限公司(承保2000万)、湖北国众投资有限公司(承保2000万)","车贷(50%)、房贷(50%)","民营系",NA,NA,NA,0,1491,"wangdai",NA,NA,NA,NA,NA,NA,"1"
"1818优本财富","ybybybcf","10.93%","2月标(70.5%)、3月标(22.1%)等","5000万元","不支持","随时","用户资金托管托管机构为汇付天下","保本保息","融资性担保公司、非融资性担保公司、风险准备金(200万元)",NA,"车贷(1%)、房贷(27%)、银行过桥(72%)","民营系",NA,NA,"汇付天下",1,2651,"1818youbencaifu",NA,NA,NA,NA,NA,NA,"1"
"18亮点贷","sbldd",NA,NA,"1000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,3161,"shibaliangdiandai","2014.12","2014.12","1000.00万元","甘肃","NA","NA","诈骗"
"19贷","sjd1","13.8%",NA,"300万元",NA,NA,"无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,915,"shijiudai","2016.04","2014.1","300.00万元","北京","NA","NA","跑路"
"1号钱庄","yhqz","12%","2月标(30.0%)、1月标(30.0%)等","20000万元","支持","不可转让","无托管","本息保障",NA,NA,"个人信用贷(20%)、车贷(40%)、房贷(40%)","民营系",NA,NA,NA,0,2019,"yihaoqianzhuang",NA,NA,NA,NA,NA,NA,"1"
"1号投","yht1","11%",NA,"5000万元","不支持","2个月","无托管","风险备用金",NA,NA,NA,"民营系",NA,NA,NA,0,4396,"yihaotou",NA,NA,NA,NA,NA,NA,"1"
"21世纪财富","esysjcf","25%",NA,"6000万元","不支持","不可转让","无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,861,"ershiyishijicaifu","2015.02","2014.09","6000.00万元","宁夏","NA","NA","停业"
"360贷贷网","sllddw","13.2%","4-6月标(43.5%)、1月标(38.8%)等","5000万元","支持","随时","无托管","全额本息担保","融资性担保公司、小贷公司",NA,NA,"民营系",NA,NA,NA,0,986,"sanliulingdaidaiwang",NA,NA,NA,NA,NA,NA,"1"
"360迪迪贷","sllddd","15%","1月标(100.0%)","1000万元",NA,"不可转让","无托管","100％保障金先行赔付",NA,NA,"房贷(80%)","民营系",NA,NA,NA,0,1223,"sanliulingdididai",NA,NA,NA,NA,NA,NA,"1"
"360金融","slljr","16.8%",NA,"1000万元","不支持","不可转让","无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,459,"sanliulingjinrong",NA,NA,NA,NA,NA,NA,"1"
"365金融","slwjr",NA,NA,"1000万元",NA,NA,"无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,252,"sanliuwujinrong","2015.07","2013.09","10000.00万元","广东","NA","NA","提现困难"
"365易贷","slwyd","12.23%","1月标(42.6%)、6月标(3.1%)等","7616万元","支持","随时","无托管",NA,"风险准备金(2300万元)",NA,"车贷(90%)、房贷(10%)","民营系",NA,NA,NA,0,53,"sanliuwuyidai",NA,NA,NA,NA,NA,NA,"1"
"3a借贷","sajd",NA,NA,"万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,2300,"sanajiedai","2013.11","2013.07","NA","山东","NA","NA","提现困难"
